Wall time,Step,Value
158.2551679611206,0,0.7091862559318542
1829.5124983787537,4,6.064173221588135
3518.968246936798,8,7.355905055999756
5194.791176080704,12,6.823266506195068
6789.197911262512,16,7.610389709472656
8412.709511041641,20,7.939528942108154
10057.809238672256,24,6.453912734985352
11677.466865062714,28,4.660022258758545
13280.571089029312,32,5.986442565917969
14886.703160762787,36,5.826193809509277
16535.908107042313,40,5.964908599853516
18156.363286972046,44,6.068613052368164
19766.41237807274,48,6.363917827606201
21374.371472120285,52,7.970963001251221
22986.658838510513,56,6.747776031494141
24639.597242593765,60,6.225715160369873
26252.26812028885,64,6.3913116455078125
27866.041988372803,68,6.475999355316162
29479.228103160858,72,7.376644611358643
31090.27847623825,76,7.009324073791504
32744.337084531784,80,7.0148725509643555
34355.75684261322,84,7.470272064208984
35966.90257334709,88,7.332154273986816
37579.51264882088,92,7.671151638031006
39185.853754520416,96,6.465304374694824
40841.30510878563,100,5.768965244293213
42454.53162240982,104,6.276305675506592
44066.06217646599,108,6.069690227508545
45680.93181347847,112,5.7730255126953125
47294.97972917557,116,5.785036563873291
48954.49114847183,120,5.298190593719482
50571.03604245186,124,5.966801166534424
52189.29952740669,128,4.83219575881958
53810.64085316658,132,4.66194486618042
55434.124789237976,136,5.769385814666748
57088.56306195259,140,6.802182197570801
58703.48355102539,144,6.748565673828125
60325.937559366226,148,6.460857391357422
61953.95574402809,152,5.5402021408081055
63580.92508268356,156,4.214959621429443
65247.746591091156,160,4.232884407043457
66876.31101870537,164,3.7768585681915283
68508.0404779911,168,4.765720844268799
70137.4170885086,172,4.5804762840271
71768.17857933044,176,5.038295745849609
73438.17708778381,180,6.383813858032227
75076.56090664864,184,4.619200229644775
76711.83473992348,188,4.399050235748291
78349.63921642303,192,4.117627143859863
79985.96281266212,196,4.173055171966553
81666.16921162605,200,4.422762393951416
