Wall time,Step,Value
184.8957395553589,0,0.6678663492202759
1837.276281118393,4,6.203795909881592
3473.8395261764526,8,6.583893775939941
5107.1374254226685,12,7.7536163330078125
6735.864513874054,16,8.503157615661621
8406.48594379425,20,6.324860572814941
10037.051924705505,24,5.052352428436279
11664.683394670486,28,6.44580602645874
13292.151372909546,32,5.352912425994873
14920.167654514313,36,5.882856845855713
16607.999320745468,40,6.412544250488281
18242.904212236404,44,6.751758575439453
19874.820472717285,48,6.249149799346924
21507.835134983063,52,6.816249847412109
23138.31205844879,56,6.984564304351807
24829.300565719604,60,6.699459552764893
26461.4060485363,64,7.008690357208252
28094.010625123978,68,7.265471458435059
29726.645040750504,72,7.8014655113220215
31359.48055124283,76,7.823349475860596
33039.10528922081,80,7.527997970581055
34669.32812476158,84,7.561814785003662
36301.87926387787,88,7.19075870513916
37937.398562669754,92,7.389374256134033
39577.03512644768,96,6.76936674118042
41263.79019880295,100,6.40391206741333
42898.450367450714,104,6.584962844848633
44537.352519750595,108,4.763217449188232
46173.88815021515,112,5.196127414703369
47812.80946159363,116,4.700395107269287
49496.32155561447,120,5.254388332366943
51156.65077614784,124,5.041568279266357
52823.32671260834,128,4.681839942932129
54483.5506811142,132,6.049052715301514
56141.422552108765,136,6.501659870147705
57852.96400022507,140,6.553910732269287
59496.57016515732,144,5.674680709838867
61132.479872465134,148,5.251045227050781
62766.81239247322,152,7.273525714874268
64405.90197300911,156,6.3416595458984375
66101.60768866539,160,5.074970722198486
67775.2452673912,164,4.150125026702881
69422.50186753273,168,5.18259859085083
71069.23750853539,172,6.33458948135376
72716.09868979454,176,6.2803802490234375
74413.92680048943,180,5.736359119415283
76075.8465924263,184,7.1681132316589355
77735.79917788506,188,7.091832160949707
79402.49202227592,192,6.5045485496521
81075.15308308601,196,4.691899299621582
82797.73452043533,200,3.783008337020874
