Wall time,Step,Value
133.65010929107666,0,0.10038734972476959
1031.958134174347,4,-2.2896485328674316
1947.5870130062103,8,-1.737215280532837
2862.3060286045074,12,-1.7230948209762573
3778.0440080165863,16,-2.0959813594818115
4724.226856708527,20,-2.4907455444335938
5639.143380880356,24,-2.738055944442749
6553.736351728439,28,-2.6049604415893555
7468.245138883591,32,-2.90857195854187
8382.172917366028,36,-2.5393354892730713
9327.886085987091,40,-2.832695245742798
10242.29942202568,44,-3.295768976211548
11156.565887928009,48,-2.3883726596832275
12070.689201831818,52,-2.0570356845855713
12985.386677026749,56,-2.1604933738708496
13928.551329612732,60,-2.213103771209717
14842.976253032684,64,-1.8387014865875244
15757.345606088638,68,-1.8444666862487793
16671.77448630333,72,-2.06974720954895
17586.371428012848,76,-1.6004608869552612
18537.435117006302,80,-1.5097671747207642
19451.114839076996,84,-1.7408583164215088
20364.430594444275,88,-1.869945764541626
21277.595033168793,92,-1.819061040878296
22190.489087104797,96,-1.8518812656402588
23132.288974285126,100,-1.9209622144699097
24044.217302799225,104,-1.7561544179916382
24956.542192220688,108,-1.9660359621047974
25869.092958450317,112,-1.8097541332244873
26781.441791534424,116,-1.9601000547409058
27723.380969762802,120,-1.868496298789978
28635.812648773193,124,-1.8641743659973145
29548.920283079147,128,-1.949546217918396
30461.30958175659,132,-1.7683180570602417
31373.772042512894,136,-1.8637635707855225
32314.615340471268,140,-1.7780752182006836
33225.92616772652,144,-1.6502214670181274
34137.32037258148,148,-1.5790958404541016
35048.805778265,152,-1.6965250968933105
35960.005299568176,156,-1.7212945222854614
36899.894800662994,160,-1.7861014604568481
37810.86363148689,164,-1.759159803390503
38722.317480802536,168,-1.866652488708496
39633.240230321884,172,-1.6726164817810059
40544.615402936935,176,-1.752579927444458
41484.287316560745,180,-1.6936408281326294
42395.48679995537,184,-1.845592975616455
43306.63731217384,188,-1.6870578527450562
44218.02530193329,192,-1.765493631362915
45129.30917310715,196,-1.8612481355667114
46068.1904027462,200,-1.7556513547897339
