Wall time,Step,Value
184.8957395553589,0,0.10041014850139618
1837.276281118393,4,-5.208841800689697
3473.8395261764526,8,-6.322054386138916
5107.1374254226685,12,-7.258953094482422
6735.864513874054,16,-8.04184341430664
8406.48594379425,20,-6.034816265106201
10037.051924705505,24,-4.803924560546875
11664.683394670486,28,-6.132470607757568
13292.151372909546,32,-5.136104583740234
14920.167654514313,36,-5.656737804412842
16607.999320745468,40,-6.199407577514648
18242.904212236404,44,-6.497820854187012
19874.820472717285,48,-6.0745391845703125
21507.835134983063,52,-6.608767986297607
23138.31205844879,56,-6.824472427368164
24829.300565719604,60,-6.556736469268799
26461.4060485363,64,-6.878839015960693
28094.010625123978,68,-7.138996601104736
29726.645040750504,72,-7.681753635406494
31359.48055124283,76,-7.687486171722412
33039.10528922081,80,-7.384827613830566
34669.32812476158,84,-7.453557968139648
36301.87926387787,88,-7.114935398101807
37937.398562669754,92,-7.322704792022705
39577.03512644768,96,-6.655900001525879
41263.79019880295,100,-6.273108005523682
42898.450367450714,104,-6.464241027832031
44537.352519750595,108,-4.585379600524902
46173.88815021515,112,-5.082229137420654
47812.80946159363,116,-4.5495524406433105
49496.32155561447,120,-5.130276679992676
51156.65077614784,124,-4.909045219421387
52823.32671260834,128,-4.55544900894165
54483.5506811142,132,-5.931583404541016
56141.422552108765,136,-6.412858009338379
57852.96400022507,140,-6.483351707458496
59496.57016515732,144,-5.548733711242676
61132.479872465134,148,-5.118200778961182
62766.81239247322,152,-7.188222885131836
64405.90197300911,156,-6.211395740509033
66101.60768866539,160,-4.920409679412842
67775.2452673912,164,-3.9748945236206055
69422.50186753273,168,-5.04196834564209
71069.23750853539,172,-6.246512413024902
72716.09868979454,176,-6.199764251708984
74413.92680048943,180,-5.664145469665527
76075.8465924263,184,-7.018120288848877
77735.79917788506,188,-7.089919567108154
79402.49202227592,192,-6.431725978851318
81075.15308308601,196,-4.5425262451171875
82797.73452043533,200,-3.597303628921509
