Wall time,Step,Value
1501.1811599731445,0,-0.0785270482301712
2086.045646429062,4,-3.171380043029785
2672.0783565044403,8,-3.6209769248962402
3257.0049209594727,12,-3.0876431465148926
3843.051996946335,16,-1.6929961442947388
5860.07124376297,20,-1.2381324768066406
6445.038776397705,24,-1.6719820499420166
7031.108569860458,28,-2.3366565704345703
7617.337826013565,32,-2.194199800491333
8202.269796133041,36,-2.422429323196411
10216.24404001236,40,-2.449495792388916
10801.138737916946,44,-2.6093552112579346
11387.57550740242,48,-2.3546457290649414
11974.062597036362,52,-2.491151809692383
12559.495307445526,56,-2.4804718494415283
14571.574708938599,60,-2.5446548461914062
15157.293639421463,64,-2.6491074562072754
15742.316697835922,68,-2.484347105026245
16328.173936367035,72,-2.3081212043762207
16913.342849731445,76,-2.442924737930298
18926.667776107788,80,-2.5594232082366943
19512.822920799255,84,-2.4764842987060547
20098.24430346489,88,-2.3099899291992188
20684.380648851395,92,-2.2599596977233887
21270.4119246006,96,-2.2372400760650635
23280.324531793594,100,-1.9160913228988647
23866.31252503395,104,-2.199077844619751
24451.22325348854,108,-2.057213306427002
25037.202174186707,112,-2.106271505355835
25623.305235862732,116,-1.8109618425369263
27633.619990110397,120,-2.0076122283935547
28219.76459980011,124,-1.7048850059509277
28805.770505189896,128,-1.9051963090896606
29390.90876841545,132,-2.000098705291748
29977.523984909058,136,-1.9947651624679565
31989.840803861618,140,-1.8012449741363525
32576.454676389694,144,-1.8859493732452393
33163.097942352295,148,-1.96530020236969
33748.99052929878,152,-1.920122742652893
34335.838077545166,156,-1.9044945240020752
36350.02881836891,160,-1.9518650770187378
36935.8537838459,164,-2.0384061336517334
37522.70812988281,168,-1.8925455808639526
38108.61037826538,172,-1.8907217979431152
38695.2658495903,176,-1.7487424612045288
40708.824689388275,180,-1.781324028968811
41293.74933195114,184,-1.8223596811294556
41880.09466981888,188,-1.8171113729476929
42466.33100819588,192,-1.8806809186935425
43051.663753032684,196,-1.9019620418548584
45063.15397691727,200,-1.7834675312042236
45648.43721842766,204,-1.745671033859253
46234.73186278343,208,-1.822489619255066
46820.88778924942,212,-1.7418206930160522
47406.00182032585,216,-1.8891912698745728
49418.85128951073,220,-1.804213047027588
50005.465310812,224,-1.7208234071731567
50591.30600810051,228,-1.8198010921478271
51178.1767039299,232,-1.9441670179367065
51763.87069320679,236,-1.8812315464019775
53778.23499560356,240,-1.7694668769836426
54365.17534375191,244,-1.6642829179763794
54951.348116636276,248,-1.769221544265747
55538.49164056778,252,-1.6554731130599976
56125.510429143906,256,-1.8288660049438477
58131.24753642082,260,-1.744600772857666
58717.94048714638,264,-1.806381106376648
59303.78569102287,268,-1.6351944208145142
59890.481548309326,272,-1.7624953985214233
60477.48876261711,276,-1.7028121948242188
62483.53420853615,280,-1.7727011442184448
63070.12422513962,284,-1.7498003244400024
63656.62649822235,288,-1.7610094547271729
64242.01899385452,292,-1.7382946014404297
64828.61079502106,296,-1.5598233938217163
66834.75347566605,300,-1.652855634689331
67421.78915715218,304,-1.652060866355896
68008.85447335243,308,-1.7709399461746216
68594.80960321426,312,-1.6775939464569092
69181.89214277267,316,-1.7904083728790283
71189.85793566704,320,-1.7968297004699707
71775.18265771866,324,-1.6781220436096191
72361.51322054863,328,-1.6928400993347168
72946.96855401993,332,-1.6883165836334229
73534.02624702454,336,-1.716835379600525
75541.8424975872,340,-1.6472387313842773
76127.996509552,344,-1.6490014791488647
76715.15040826797,348,-1.6627798080444336
77302.37402677536,352,-1.6928248405456543
77888.70055150986,356,-1.5630172491073608
79897.13044404984,360,-1.5634331703186035
80483.31422328949,364,-1.557855248451233
81070.65241718292,368,-1.5744235515594482
81657.92931771278,372,-1.6550087928771973
82244.4315764904,376,-1.646958589553833
84253.62471365929,380,-1.6796380281448364
84840.889128685,384,-1.6242822408676147
85427.10361027718,388,-1.5322164297103882
86014.63186001778,392,-1.7457753419876099
86601.03296136856,396,-1.6643363237380981
88612.51469135284,400,-1.626442790031433
89199.66774177551,404,-1.6471751928329468
89785.99484920502,408,-1.6985490322113037
90373.27905154228,412,-1.6826504468917847
90960.55016613007,416,-1.6393975019454956
92969.62401390076,420,-1.6535893678665161
93556.76570916176,424,-1.666733741760254
94143.05508065224,428,-1.6758100986480713
94729.86246919632,432,-1.6615641117095947
95316.46000409126,436,-1.5697041749954224
97324.44712376595,440,-1.6723811626434326
97910.7249763012,444,-1.6358352899551392
98497.43757271767,448,-1.5949774980545044
99083.07132434845,452,-1.4926843643188477
99669.86692237854,456,-1.579641580581665
101677.54518818855,460,-1.5774644613265991
102263.45378923416,464,-1.5344363451004028
102849.62640213966,468,-1.540717601776123
103434.61301231384,472,-1.5233793258666992
104020.63269686699,476,-1.5463200807571411
106034.09256768227,480,-1.5796958208084106
106619.40467309952,484,-1.4947657585144043
107205.36757564545,488,-1.6361536979675293
107790.43313264847,492,-1.5437523126602173
108376.49642014503,496,-1.5473546981811523
110387.3705728054,500,-1.513521432876587
110972.77070403099,504,-1.5863975286483765
111559.10912322998,508,-1.5062299966812134
112145.43173718452,512,-1.5659081935882568
112731.12159895897,516,-1.516658902168274
114744.34448575974,520,-1.4624662399291992
115329.98671245575,524,-1.499136209487915
115916.40030097961,528,-1.5723820924758911
116502.89437413216,532,-1.5660815238952637
117088.45180034637,536,-1.5226682424545288
119099.58951377869,540,-1.5360397100448608
119685.98363375664,544,-1.5865517854690552
120271.42384386063,548,-1.629834532737732
120858.07807779312,552,-1.5378929376602173
