Wall time,Step,Value
225.2390115261078,0,1.8161518573760986
3817.8650374412537,4,8.657889366149902
7462.107979297638,8,3.095858097076416
11105.360000610352,12,3.2209627628326416
14763.32806301117,16,3.694328546524048
18425.36987733841,20,4.1307172775268555
22106.606726884842,24,4.30172872543335
25769.96745467186,28,4.176767826080322
29328.692803382874,32,4.679841995239258
32850.92384696007,36,4.165187358856201
36414.50280857086,40,3.778311014175415
39995.375507593155,44,3.9380416870117188
43534.2699174881,48,4.0614094734191895
47077.73428440094,52,3.985597610473633
50633.014563560486,56,3.8553242683410645
54216.21283531189,60,4.274929046630859
57783.69199991226,64,3.868912935256958
61326.57578134537,68,3.704878568649292
64872.13285064697,72,4.163076877593994
68421.41965150833,76,4.0094804763793945
72017.03980946541,80,4.129283428192139
75635.44274640083,84,3.772801399230957
79254.87267661095,88,4.054081439971924
82874.66828632355,92,3.9332354068756104
86485.76710438728,96,4.1324334144592285
90129.75187134743,100,3.85400652885437
93730.1878798008,104,4.068392753601074
97293.49764609337,108,3.9520998001098633
100864.66549372673,112,4.087503433227539
104521.7428765297,116,4.108414173126221
108223.54669260979,120,4.473997592926025
111929.98392438889,124,4.1574387550354
115609.73576641083,128,3.7235074043273926
119206.93908166885,132,3.636836051940918
122825.65960001945,136,3.6818528175354004
126476.94569659233,140,3.8212890625
130073.70312547684,144,3.762557029724121
133651.6586523056,148,3.6084351539611816
137231.00694346428,152,3.6789817810058594
140788.99260425568,156,3.6644890308380127
144371.08385920525,160,3.729672431945801
148028.4479176998,164,3.6437110900878906
151695.80379390717,168,3.6797080039978027
155345.91620445251,172,3.8858275413513184
159017.53920650482,176,3.5208709239959717
162702.83075618744,180,3.8666841983795166
166374.5670156479,184,3.7357847690582275
170047.91109585762,188,3.7641119956970215
173709.93765091896,192,3.6337993144989014
177365.16660809517,196,3.5182745456695557
181066.53038430214,200,3.7615838050842285
184776.0149166584,204,3.2212724685668945
188466.77234053612,208,3.4912242889404297
192146.96503162384,212,3.2712671756744385
195833.51864552498,216,3.2078680992126465
199542.23817682266,220,3.6425061225891113
203214.35715818405,224,3.2308452129364014
206919.90521240234,228,2.82023024559021
210626.02525401115,232,3.3687245845794678
214319.11308002472,236,3.4062256813049316
218044.32363772392,240,3.6662957668304443
221724.1403312683,244,3.2084286212921143
225411.79299139977,248,3.1999473571777344
229086.72343206406,252,2.998199224472046
232765.57770252228,256,3.1652190685272217
236465.6401093006,260,3.10966420173645
240173.52626872063,264,3.1993188858032227
243893.70008730888,268,3.2953293323516846
247597.441300869,272,3.321584463119507
251292.6560230255,276,3.5576956272125244
255030.58058834076,280,3.341848373413086
258724.6045024395,284,3.115732192993164
262430.0065882206,288,3.070614814758301
266130.3250710964,292,3.1123714447021484
269826.76893663406,296,3.099318027496338
273547.6179597378,300,2.9133033752441406
277267.2419910431,304,2.9224166870117188
280981.7720873356,308,2.8726348876953125
284683.22418022156,312,3.0573320388793945
288400.80509519577,316,2.972475290298462
292080.9216272831,320,2.9591224193573
295696.67181277275,324,3.0295169353485107
299301.01564359665,328,3.166694164276123
302874.4598765373,332,3.2486276626586914
306444.81024336815,336,2.93949818611145
310048.34681487083,340,3.159712553024292
