Wall time,Step,Value
158.2551679611206,0,1.5285391807556152
1829.5124983787537,4,0.4870988428592682
3518.968246936798,8,0.35268670320510864
5194.791176080704,12,0.17660687863826752
6789.197911262512,16,0.11522597074508667
8412.709511041641,20,0.10312991589307785
10057.809238672256,24,0.21209405362606049
11677.466865062714,28,0.2484767585992813
13280.571089029312,32,0.16550935804843903
14886.703160762787,36,0.13195271790027618
16535.908107042313,40,0.12078540027141571
18156.363286972046,44,0.137764111161232
19766.41237807274,48,0.1021294966340065
21374.371472120285,52,0.07285989820957184
22986.658838510513,56,0.12047100067138672
24639.597242593765,60,0.09749023616313934
26252.26812028885,64,0.09810483455657959
27866.041988372803,68,0.1409987211227417
29479.228103160858,72,0.0676017627120018
31090.27847623825,76,0.07185337692499161
32744.337084531784,80,0.0684993639588356
34355.75684261322,84,0.06568593531847
35966.90257334709,88,0.060834918171167374
37579.51264882088,92,0.04367285966873169
39185.853754520416,96,0.08910438418388367
40841.30510878563,100,0.13524678349494934
42454.53162240982,104,0.09997491538524628
44066.06217646599,108,0.11116380989551544
45680.93181347847,112,0.10772227495908737
47294.97972917557,116,0.12144322693347931
48954.49114847183,120,0.1406303495168686
50571.03604245186,124,0.0890975072979927
52189.29952740669,128,0.19682715833187103
53810.64085316658,132,0.1881130486726761
55434.124789237976,136,0.08736315369606018
57088.56306195259,140,0.049641791731119156
58703.48355102539,144,0.05841271951794624
60325.937559366226,148,0.06761693954467773
61953.95574402809,152,0.13187818229198456
63580.92508268356,156,0.26553863286972046
65247.746591091156,160,0.25809285044670105
66876.31101870537,164,0.29064878821372986
68508.0404779911,168,0.21858501434326172
70137.4170885086,172,0.21998092532157898
71768.17857933044,176,0.1541258543729782
73438.17708778381,180,0.06849244236946106
75076.56090664864,184,0.18692494928836823
76711.83473992348,188,0.2108457088470459
78349.63921642303,192,0.24217911064624786
79985.96281266212,196,0.2506392300128937
81666.16921162605,200,0.20502805709838867
